word	MEANP	AOA	IMAG	FAM	CONC	MEANC
WANDER			406	539	320	434
TIMBER		403	553	440	578	
EVEN			338	576	283	411
LITER			412	462	482	371
EXACT			288	606		
YELP		378	499	333	402	
PRONOUN			402	480	346	349
CAMEL			561	421	597	372
DOCTOR			600	573	575	544
UNCTION		669	213	239	308	
UNIVERSAL			356	560	339	487
MOUTHPIECE			549	495	608	400
WHILE			302	543	204	320
EARLY			376	575		
PIPING		436	491	451	538	
ARMADILLO	438		401	181	558	
BOTTLE			619	591	591	
TIDY			478	490	311	472
AMAZEMENT	450		456	495	277	
EVER			273	557	299	317
INDUCEMENT	368		336	323	288	
LOW			378	580	322	427
FARE			384	482	413	361
BURIAL		446	544	400	477	
NOTICE		369	467	634	479	
INCLINE		500	429	467	376	
PEEL			436	507	432	387
FARM			560	564	565	532
INTELLIGENCE		458	383	570	275	
TECHNICALITY		608	262	390	308	
SURTAX	296		290	304	393	225
DISAGREEMENT		503	362	489	311	
UNFAIR			264	588		
WHIMPER			441	416		
SINGLE			415	556		
QUICKEN			335	469	380	375
CATTLE		261	619	511	600	
PEER			376	460	406	358
PEEP		289	437	418	388	
EMPEROR		440	502	379	527	
RESCUE		367	456	532	373	
BE			274	613	225	325
TEMERITY	204		267	185	285	230
BLISTER			616	462	573	
FEVER		358	563	454	492	
NOSTALGIA				360		
VARY			272	485	258	347
NATURE		342	513	535	414	
SWIMMING			635	560	548	502
HOWEVER			247	552	186	287
COMPETITION	569	381	443	544	342	
AXIOM			311	318	306	255
FANTASY	506		455	499	295	521
CIVILIZATION		503	437	491	361	
IMMENSITY		567	402	388	262	
ACORN				397		
FORMAT				493		
DERELICT	452		466	245	506	
PASTE		317	529	504	559	427
ASTUTE			261	335	241	281
LATEST			288	578		
FORK		225	598	584	592	412
COMRADE	558	492	515	397	497	
BUTLER			543	425		
UMBRELLA	676	306	592	511	606	400
FORM	460	383	452	553	438	389
OWL		269	595	477	614	397
FENCING		497	518	395	525	
HEAL			438	536	417	465
POLYP		678	235	185	435	
FRONTAGE	536		464	329	493	
FORE			340	414	300	308
RECRUIT			412	471	393	390
SANE			364	508	290	428
HEAT		278	507	580	472	468
OWN			337	598	317	485
MUSIC		272	549	599	512	569
HEAP		319	494	519	485	
KNOLL			444	374	486	323
DEVICE		472	391	500	444	419
BOATSWAIN		578	343	230	543	
MUCOUS	638		538	264	539	
EXCITING			407	576		
PERSE			271	187	313	210
PERHAPS			220	590		
FORT		328	559	418	580	
PROFILE	560		572	445	510	
PASSIVE			307	505		
WITCH		258	589	474	522	465
PAWN			479	477	480	376
TASTE			425	580	464	431
INTEGRITY			379	481	247	421
MENAD			167		263	167
INDISCRETION		631	305	384	250	
UNLIMITED			390	532	263	490
KEY			618	603	612	430
CLOTH			547	561	580	475
BUNGALOW	548		543	421	564	425
CALL		225	424	599	389	430
CALM			439	547	360	469
ANIMAL	700	222	575	620	587	
EXACTING			295	409		
NIGHTFALL	652		588	460	511	
CONTRIBUTION	544		394	505	353	
CIRCULAR			543	487	404	451
CALF			565	511	592	415
LEGITIMATE			321	487	265	420
MATHEMATICAL			430	541	328	469
VELVETEEN		636	470	238	550	
RIPE			490	534	360	392
PEOPLE		281	548	628	540	612
COMPACT			462	518	441	452
SKYLARK		394	548	350	614	
ATE			364	562	385	403
PREJUDICE			419	508	340	462
ENIGMA		649	259	290	242	
ALTHOUGH			208	573	218	270
SCARCE			380	508	297	466
IODINE		558	508	396	576	
TIRESOME			361	464		
TRUE			365	605	269	475
MINSTREL			522	390	530	367
ECONOMY	588		357	580	284	
HEAVY			495	581	413	472
SHOWER		342	615	593	588	454
MORPHINE			550	446	580	433
DALLIANCE	312		297	115	320	
PLATFORM		386	529	498	547	
JOY	652	342	533	545	300	567
MOHUR			158		266	128
BRUT			392	343	430	356
INFLUENCE		542	270	539	280	
LUNCH		275	602	616	552	485
CHILDREN			597	608	582	608
SCARLET	580		587	428	519	453
DINNER			570	621	542	539
BUOYANT			426	321		
NOMAD		511	516	342	512	
IMAGINATIVE			383	498		
SAP		464	451	377	540	
SAW		269	531	552	532	390
CONDITION		461	297	571	303	
BETEL			238	129	320	200
SHRUG		408	497	481	421	
EMOTION		492	478	549	260	
SHAKER		433	408	370	472	
LEMONADE			606	522	615	458
SHRUB		383	556	446	588	
INDULGENT			317	413	272	367
ASBESTOS		578	513	427	578	
JAW		361	573	529	617	418
MIMIC			390	464	329	378
FELT			483	504	437	387
JAR		242	571	564	595	426
SHONE			384	482	363	340
LIGHTNING		331	599	465	525	
EXPULSION			363	403	359	373
IDIOM	460		341	420	360	
FOAL			448	338	420	353
FELL			431	546	407	403
DELICATE			378	556		
LEARNING		322	370	565	303	
RETAIN			352	507	308	410
KEEPER		392	421	464	459	
LITTORAL			224	165	273	163
TRIANGLE			597	512	523	425
ISSUE		472	315	525	338	
FRIVOLOUS			378	403		
CONCERT		386	578	520	252	
PESSIMISTIC			400	517		
CLAIM		417	321	525	331	
PEWIT			229		294	134
COMBINATION		475	326	493	326	
MUD		239	582	519	605	472
THRIFTY			381	461	297	402
EAT			563	529	486	500
DECISION		437	340	601	297	
APT			295	428	183	348
MONTH	458		448	598	345	
FERVOUR		586	345	349	308	
LEGUME			473	258		
PEST		306	445	482	479	
STICK			517	528	604	503
VIGOUR				426		
MENU		433	613	550	555	
SNAP			410	526	420	373
ATTENDANT	450		499	494	533	
INJURY			551	568	497	
MARGIN		403	494	499	472	
OBLIQUE			310	407	351	280
INEFFICIENCY		560	316	465	225	
APART			364	555	304	398
HORSE			624	560	613	471
SUFFRAGE			317	371	283	371
UNITE			474	494	309	443
ASSEMBLAGE				286		
BELIEF	524	447	328	554	270	418
CORPORATION		522	337	427	361	
SOME			302	578	286	303
SALTPETRE		656	283	210	525	
TELEPHONE			655	605	619	467
MERCENARY			436	315		
GOOD			374	621	297	555
MAT			537	490	513	363
SNORT		433	472	401	424	
PEACEMAKER	508		416	456	432	474
GASP		367	491	457	409	
ESSAY		450	564	578	527	
SHARK			602	516	611	423
CHEMISTRY			458	533	374	435
CLAMOUR		561	362	351	353	
TELESCOPE			596	461	592	410
CHAOTIC			434	439	313	448
WEDDING		314	594	507	509	
STIFLE			381	453	292	371
REFRAIN			370	523	325	418
NEIGHBOUR		323	548	565	515	
SOCIETY		497	440	601	335	
MEDALLION	632		565	338	577	
VILLAGE	532	317	578	524	576	528
BLAND			348	436	338	360
NEAT			495	528	314	493
TEMPLE	675		547	450	565	427
ENCORE	572		419	310	372	
RICK		569	275	223	474	
CHEESE		211	592	588	624	502
FIREPLACE			639	529	592	
JERK		400	479	452	441	468
PERMISSION	468		331	533	425	
YOUNG			521	609		
SHADY			487	533	408	460
LIEN			317	204	332	171
RECITAL	556		495	468	476	
HAMLET	656		565	396	541	
YOUTH		431	507	551	439	561
CLUMSY			436	512	386	430
SUFFOCATE			486	474	391	387
UNEASINESS		475	411	451	229	
AMBITION		483	346	517	281	417
WAREHOUSE		492	502	449	578	
SEEDY			432	354		
FILM			562	578	604	561
TWILIGHT	656	411	588	423	467	
LOOT			579	470	542	448
HIGHWAY		436	581	488	575	489
FETUS				408		
PRECEPTION				558		
PROW		583	307	252	485	
FREELY			354	586		
ASTER		631	224	205	447	
CREW		366	486	442	523	
PARRY			328	209	311	213
ACUMEN			229	149	272	210
ERUPT			460	466		
CARDINAL			531	451	600	400
NICKEL			572	559	597	431
TIME	700		413	604	343	453
LARK	584		573	436	578	379
BESIEGER		592	335	255	441	
FORELOCK		542	421	353	565	
JERSEY		306	572	559	621	
APPRAISE			306	459	279	382
PESO			463	318	520	342
MAKE			322	618	299	474
WORK			458	603	402	558
PLEASANT			390	547		
WORKING			458	609	383	534
ACCORDION	589		576	394	586	352
AGONY	606	461	491	509	348	485
BUILDER	556		551	554	532	
IMPROVEMENT		442	332	564	326	
ENTREE			413	441	418	367
TREATMENT		433	408	529	343	
FRAIL			430	459	383	411
SQUEAK			492	506	461	438
HELMET			620	528	602	436
OSCULATION	371		318	138	410	
MIGHT		400	346	533	271	380
INDOLENCE		651	227	283	211	
JUPON			240	111	238	141
BIVOUAC	536		370	154	487	
PLANET		414	578	457	523	
LANE		261	543	525	537	416
LAND		286	566	574	604	508
NECTAR	692		523	344	556	
SHOOT			494	536	445	457
AREA		392	394	560	384	398
DECAY			450	513	370	469
TRADE			390	537		
STEAMER	632		616	458	591	
BOREDOM	463		406	527	262	
COME			322	608	355	408
THEN			204	610	190	272
JOG			504	531	464	432
ONCE			322	539	315	420
TRIM		367	378	456	388	
RATION			392	473	390	377
VICIOUS			441	440		
WAIL			452	426	439	426
BUMP			476	541	525	421
IRONY	524	606	293	458	243	
WORKER		308	486	587	532	
ANTEROOM		629	375	241	512	
MIRACLE	560		367	421	282	
FREEZE			521	563	480	393
TOKEN		450	416	473	467	
MAGNESIUM		625	391	372	547	
OUTBREAK		444	359	471	358	
WEIGH			411	536	363	400
SHIP		249	612	553	615	492
PIECE			395	511	384	387
VEIL		414	516	421	560	379
TRIP		314	520	559	448	550
CHANNEL		411	508	482	527	
PREVIOUS			276	545		
STILL			345	557	354	397
SPAN		456	381	449	352	340
QUILT			554	490	613	444
HUMILIATION			352	501	338	420
ORAL			378	503		
HOUSEHOLD		414	502	504	462	
SQUIRE		525	459	323	502	
SOCK		172	553	578	581	378
SEAMAN			481	449	563	380
SAVANT	388		271	157	293	143
BREAK			398	529	360	390
MAJORITY	548	531	390	546	338	
RIGHTEOUS			329	433		
COTTAGE			607	543	593	482
MILITARY		428	478	458	417	
ADEQUATE			268	485		
HIGHER			464	574	324	518
SATIN			561	470	594	438
HUMANITY			442	526	381	498
BREAD			619	611	622	484
ALIMONY	572		456	415	454	
PENCIL	648	225	607	598	617	449
TRANQUIL			508	479	334	462
PERRY			356	326	350	248
LOCOMOTIVE				405		
DEGREE		508	521	574	406	
IDEALISTIC			366	494		
TOASTER			580	520	579	365
FINISHED			361	600		
REVOLUTION		517	513	477	378	
CARBON			445	470	511	352
DENSE			461	524	353	425
GUY		358	551	550	565	
EMULSION		542	451	428	502	
OVER			327	589	287	423
TRASH			599	541	588	498
TOILET			603	567	586	430
POT		217	598	577	584	538
CAMP		308	588	541	571	484
LEOPARD	683		635	431	595	
MICROSCOPE	548		617	493	591	389
PACIFISM	380		383	375	279	411
WALRUS			590	506	629	420
RACE			457	543	463	441
LOBSTER	684		630	472	590	407
FUEL			521	534	559	459
LEGENDARY			413	466	272	402
LYMPH		675	383	330	501	
DELIRIUM	500		481	317	318	
SULPHUR	625		561	445	591	370
CANDID			337	374		
ACCURATE			305	566		
CAME			288	563	265	373
SOLIDIFY			445	474	363	407
AMBASSADOR	522		545	477	546	392
EPISODE	532		370	431	391	
STRING	529		556	566	570	443
LEND			327	566		
VACATE			369	408	351	397
CURLER			521	501	600	387
DISMISSAL		494	362	447	300	
SNOW			597	615	618	503
RUBBLE	540		482	407	493	363
SLAVERY			517	512	393	475
VASE		297	563	452	595	388
CHRONOLOGY		631	291	302	266	
SANCTITY			330	338	293	277
MILD			359	556	330	437
MILE		314	511	568	460	398
GYMNASTICS	552		562	437	468	
CEREBRUM	612		518	381	536	353
PUNCTURE			465	431		
SKIN	567		638	591	614	482
TWEED		419	540	429	570	
TWEEZERS	580		619	415	590	
MILK			638	588	670	515
CORE	511	344	497	459	459	
GROUND		258	513	574	558	442
EVENING		303	559	630	439	
TARN		606	299	251	399	
WIZARD			551	473	473	410
PROMISE			320	598		
FACE		166	581	612	599	488
SLEET			547	479	538	407
STRAWBERRY	671		631	539	610	465
DELIBERATE			341	508		
SALTY			512	509	490	415
TUFF			366	341	352	315
SUSPECT		472	377	488	379	
SLEEP			530	610	484	475
AIRY			368	423	334	353
PINT			487	536	483	418
FACT	429		302	593	332	463
SPASM		558	486	422	439	
ENGINE	608		595	543	586	490
CHEW			527	570	442	474
ATMOSPHERE		517	444	540	385	
FRIEZE			315	296	324	195
DEATH			498	581	365	510
DISTURBER	460		427	431	468	
PAX			277	264	274	282
OBJECT		339	408	586	487	
PATCH			529	528	558	423
MEAL			573	603	602	548
OXIDE			337	397	462	364
GLOOMY			436	487		
PLIERS			588	499	645	408
SWARD		650	207	155	364	
THWART			324	361	340	332
PRIDE	524		424	564	270	469
REVEALED			346	517		
STEAM		308	591	545	552	433
PAN			532	566	586	451
ROPE		281	596	539	608	441
YONDER			360	387	329	297
TIRED			419	630		
ALE			526	454	578	410
SOAR			436	496	366	470
SMELL			477	582	450	498
BELLIGERENT			344	320		
DOLL	612	161	565	503	588	449
WARM			441	613		
FORETHOUGHT	440		308	331	254	
LUNGE		508	459	394	376	
LIVE			446	608	436	522
AWL			292	257	413	200
CARD			578	543	565	447
BROKE			485	528	394	432
TEACH			429	552	353	455
PICKLE			641	562	606	416
LAST			367	587	299	470
WEB			602	457	561	374
SODA			544	536	600	470
MOVE			413	572	390	428
REALM		561	324	376	303	
INFANTILE			422	407		
GRAMERCY		683	148	159	279	
SIGH		380	440	518	380	
FLAMING			509	466		
DOTAGE			273	180	293	190
BRIEF			344	523	361	408
CONJUGATION		633	272	340	303	
DREARY			463	506	324	452
PRESSURE	580	444	446	544	379	
CHIEF	608		545	482	503	455
COIF		694	202	157	421	
BISON			541	298		
TUBERCULOSIS			426	461	519	392
INSISTENCE		556	324	411	262	
TRELLIS	500		544	208	574	
BUBAL			233		258	174
OBSCURE			354	434	320	362
UNDERGRADUATE		639	518	530	500	
SAUCE	588	258	569	522	576	
GALAXY	600		575	423	465	
CAPITOL			545	529	529	487
DEXTERITY		614	316	332	280	
LIGHTHOUSE				410		
OIL		303	573	548	581	413
ONSLAUGHT	584	600	374	338	346	
ERRAND	648		440	441	411	
BIRD		206	614	592	602	519
BEAST	608	319	558	456	564	
TORNADO			591	484	644	492
ABUSE				450		
SURRENDER		386	432	488	356	
HARDLY			256	500	223	300
SENT			386	523	292	362
SUSPICIOUS			371	523		
QUACK			446	467	459	423
PAEAN			261	133	281	178
FILTH			517	492	467	477
SASH			488	385	540	334
COCKTAIL			604	511	576	488
VARIETY		464	372	533	297	
PERSONNEL		575	375	482	429	
FOREIGNER		447	516	499	492	
BENCH		311	555	488	614	
LARGE			449	634		
ADHERENCE		603	326	375	265	
BRUTAL			427	446	402	467
BOAR			524	455	558	385
OPINION	496		359	550	285	
CHEERY			449	417		
PARTNER		344	513	555	500	
SNEEZE			562	544	563	382
ARISTOCRACY		569	470	401	371	
BOAT			631	584	637	542
FORBADE			320	349		
SEARCH		344	402	537	371	
BUY			397	575	370	450
PORTER			536	487		
MEEK			392	470	299	470
AUTHOR	524	414	460	554	502	502
WILLOW		386	565	425	589	395
RIDE			483	576	424	457
HAZE			521	484	509	423
BUT			206	603	227	225
THAN			213	545	188	269
RESPECTABLE			385	556		
THESE			267	547	260	308
SCOUT		372	578	452	562	
INITIATION		597	370	389	272	
OWNERSHIP	520		362	464	336	
RIFLE		322	581	477	606	453
MEET			438	575	341	462
EXPOSURE			431	538	339	405
PAINTING		258	602	527	615	
SOLD		308	408	544	310	423
BUD		331	508	465	549	375
SERGEANT			549	480	511	365
DOWAGER		631	316	268	487	
FINISH		300	437	617	343	
LOVE	644	303	569	619	311	548
HALT			417	465	345	431
PENDULUM		422	605	407	583	
URBAN			476	518	420	500
OUR			315	602	245	358
SUGAR	700		595	608	620	510
THEME			395	524	336	434
FLOWER			618	566	584	529
COMMAND			366	526	377	408
CEREAL			576	543	637	449
HALF		267	458	610	389	408
DECEIT	492	519	338	440	257	327
SEXUAL			504	576		
PUPPY		203	635	522	623	
SALVATION		558	408	396	269	
HALL	616	283	559	592	565	421
TRAILER			587	528	597	363
CLOSER			393	536	323	395
PROVIDED			264	576		
REQUIREMENT			339	508	300	393
PIN		261	576	524	600	425
CLOSET			525	540	599	415
JOKE	592	289	483	580	388	484
BUTTON		192	580	573	613	387
OPENING		336	462	542	455	
WOODLAND		381	608	423	585	
LITERAL			261	468	295	306
COLOGNE		494	586	407	576	
LOCKER	644		569	538	586	403
UNIFICATION	476	647	323	353	266	
JOBBER		639	226	230	449	
FACTOR		474	269	499	328	
ALONE			480	562	390	460
WAMUS			213		276	154
MUSICAL			451	538		
POMPOUS			380	313		
SELLER		381	427	459	444	369
IMMUNITY	576	589	367	431	293	
SPECIALIST		517	448	495	487	
MONOCLE		531	529	301	603	
DESOLATE			435	459	325	437
SPOKE		328	466	532	526	413
CERTIFICATE		439	529	488	517	
GIVE			383	595	326	465
OVEN		236	599	577	593	407
UNSUCCESSFUL			293	507	339	412
COMMERCIAL		525	460	536	423	489
CHAOS	588		464	450	299	
SWEEP		281	513	495	476	415
NEED			327	589	314	473
GULLIBLE			359	496		
VENOM	640	531	456	375	476	
DEBACLE	192		284	169	370	243
MOUSTACHE				481		
ROBBERY	616		484	532	440	480
SPIKE		353	573	471	572	405
MOSS			569	436	575	373
BOMB			606	566	595	497
KEEP			284	584	339	327
FALLING			442	527		
ROBBER	688		549	493	545	
PERSONALITY		508	405	575	311	
MANURE			534	458	644	453
OBESE			563	424	492	535
ENTERPRISING			307	429		
SANDAL			613	494	609	487
ICEBERG				406		
ABILITY	560	453	327	563	273	
KEEN			335	449	336	372
CARAVAN	652		562	304	539	
PATHETIC			397	460	256	422
WITHER			438	445	384	382
AFFIRMATION		583	313	332	242	
INCREMENT	372		313	262	322	
WERE			243	593	200	274
HERESY		628	329	334	270	
CHLORIDE	575		435	391	547	
WITHDRAWN			324	487		
CUNNING		426	380	417	265	
FURTHER			300	578		
FREIGHT		542	465	425	511	380
FISSURE		631	381	285	477	
ANTITOXIN	567		388	214	531	
TRAPEZOID			518	411	494	359
HIND		469	424	416	474	
ASHEN			395	274	351	283
AFFRIGHT		656	232	219	229	
EXTERMINATION	496		422	346	340	
PUGILIST		656	264	189	419	
ROTE			264	249	295	235
MISUSE			367	457	318	425
TOOTH			624	578	619	436
CHAMOIS			464	276	488	230
DETECTIVE		377	524	509	505	
MAJOR			395	558		
FERTILE			446	502	430	442
APPEAR			341	534	271	336
TRIAL		433	516	509	446	433
BLANKET		211	582	563	622	449
BOWL		256	579	557	575	447
PODIUM			508	455	546	367
CAMOUFLAGE	638		513	341	480	
STRUT		511	437	368	429	
NOD		203	508	552	437	
EXPENSIVE			402	633		
SKILL		414	366	549	346	
APPEAL		431	402	514	333	
EVENT	504		334	574	379	
CHUCKLE			497	505	429	528
SEASICK				393		
PALETTE		542	437	301	565	
POLIO			561	463	555	397
LOG				466		
PAMPAS		597	410	252	570	
BASIC			271	533		
RODE			451	496	353	379
NICE			375	583	279	525
REALITY		469	315	551	296	435
DANCER			551	535	558	458
SPEAKER	554		549	554	537	
ELECTION		528	435	535	343	
SYMBOLISM			438	529	273	436
LEARN			361	552	370	433
LEAP			494	539	389	510
FRUSTRATE			381	529	322	423
ADMIRAL	611		543	436	528	381
BLUNDERBUSS	356		358	221	423	212
GRIEVANCE		542	340	434	295	
REPTILE	652		579	490	578	487
SKUNK			652	519	648	446
APPOINTMENT		425	386	541	341	
CANON			493	424	541	410
KILL			481	549	386	537
REVENGE		467	429	489	305	
NICETY		569	221	302	242	
OBSTRUCTION		542	413	445	421	
INSINCERE			337	479		
SPEECH	536	369	447	549	453	
MICROBE		622	394	339	482	
WICK		353	535	438	599	
RAKE		336	550	476	597	380
WHIFF			461	426	413	382
MERRY			519	526	370	513
FIR			461	407	442	348
UNNATURAL			305	462		
NOZZLE		411	513	412	555	
PARALLELOGRAM				387		
EFFECT		414	280	602	295	
NATION		425	436	508	415	457
FAMINE				444		
NOT			253	565	273	260
BELOW			317	566		
TACK		363	546	463	565	358
MISTAKEN			290	572		
WARRIOR		374	553	368	525	
ESTIMATE		503	305	505	293	
RHOMBUS			441	339	419	297
SINFUL			371	452		
CRISIS	544		375	521	319	
TENDENCY	408	525	261	507	243	
INANITY	216		250	137	289	
LAMB		186	614	519	633	445
SACK			548	539	582	447
NOW			276	605	309	339
VIOLATION	592		386	487	326	
NOPE			315	481	270	328
LATHE			356	295	481	246
DISCOLOR			428	460	398	338
LAMP		283	575	578	615	442
OUTLANDISH			332	307		
INDICATION		481	340	500	282	
NOR			243	429	190	264
BIG			463	640		
FRANCHISE	484	650	309	313	360	
TRUST		400	356	548	300	460
GYM			613	547	597	462
RECOGNITION	504		388	507	266	
DRY			429	615		
CLOVE		500	446	395	565	315
CANE			608	442	590	
THAW		381	466	492	368	416
WHICH			257	555	215	290
FATE	400		343	502	255	472
BRASSIERE	475		635	503	592	
NUMB			477	487	379	369
BIB			488	380	548	357
YEAR		269	428	601	364	437
BETRAYAL	500	492	358	392	258	
VEST	596		581	472	575	378
WARBLER	579		541	273	570	
FILLING		347	477	562	502	
BONE			567	541	588	418
CONE		275	559	506	573	
IRRITATION		508	448	470	305	
INTERVIEW	488	494	499	520	420	
PECK		300	494	471	432	
SERIAL			340	440	365	310
REFRIGERATOR			612	545	574	395
DOLT		608	259	233	372	
RUDDER			520	390	572	357
ELABORATION	436	578	325	403	288	411
CREATOR	568		409	431	395	
LIKEN			322	385	322	300
SWEET			493	570	463	495
SPOUT			466	433	468	295
STOUT			521	511	413	492
SAND		217	603	519	616	463
HURDLE	592		600	437	572	
DOUGHNUT			599	566	606	411
ION			348	380		
OBLIVION		639	386	379	242	
KEEL		500	451	337	515	
IRON	612	281	561	555	584	388
MECHANICAL			482	533	385	470
CASTLE				415		
VALLEY	656	339	600	515	575	458
MAYOR		436	523	443	507	393
ALLY		446	453	410	485	
EXECUTIONER				418		
NAPKIN		342	582	495	585	357
STARCH		489	497	459	555	385
VETO		636	336	361	326	
GARDENIA			564	472	576	419
NEEDLE		264	589	533	608	435
WOUND		372	570	474	561	
GADFLY	328		401	158	520	
EVIL			434	538		
SHORT			431	586	351	484
KISS	668		633	592	564	513
RUFF			327	329	358	292
BALANCE		367	429	545	366	
